Packet Number,Deed Number,,Deed Name,Deed Type,Case Ref,Transaction Date,Consideration Â£
SS00226,0013,,"MINES & MINERALS, AUCKLAND GATE CENTRE, DERE AVENUE, BISHOP AUCKLAND DL14 9SY",Freehold Acquisition,,11-Aug-22,10000
HO00040,0001,,"4 CORONATION AVENUE,HORDEN",Freehold Acquisition,,23-Aug-22,53000
HO00066,0001,,"56 BYERLEY ROAD, SHILDON DL14 1JQ",Freehold Acquisition,,20-Sep-22,63000
HO00080,0001,,2 ACACIA AVENUE HORDEN PETERLEE SR8 4HF,Freehold Acquisition,,21-Oct-22,59000
LG00029,0001,,"LAND ADJACENT TO BYRON PLACE SHOPPING CENTRE, SEAHAM",Freehold Acquisition,,21-Nov-22,80000
HB12868,0001,,"ACQUISITION OF LAND AT THE A19 SEATON LANE JUNCTION, SEAHAM",Freehold Acquisition,ACQ00031,25-Nov-22,3800
HO00082,0001,,"9 THE AVENUE, CHESTER LE STREET",Freehold Acquisition,,09-Dec-22,125000
OP00014,0001,,"0.368 ACRES OF LAND AT BURDON CRESCENT OPEN SPACE, WINGATE",Freehold Acquisition,,20-Dec-22,1
D001857,0002,,Land National Cycle Route 1 South Hetton,Freehold Acquisition,ACQ00099,20-Jan-23,0
HO00061,0001,,"42 HARTLEY GARDENS, GILESGATE ",Freehold Acquisition,,27-Jan-23,92500
HO00062,0001,,"43 HARTLEY GARDENS, GILESGATE ",Freehold Acquisition,,27-Jan-23,92500
ED00843,0030,,"MINES AND MINERALS-FORMER ROSEBERRY SPORTS AND COMMUNITY COLLEGE, PELTON, CHESTER LE STREET",Freehold Acquisition,PDIS00136,06-Feb-23,35000
HO00088,0001,,"46 Stratton Street, Spennymoor",Freehold Acquisition,,06-Feb-23,35000
HO00081,0001,,"20 Gibbon Street, Bishop Auckland",Freehold Acquisition,,07-Feb-23,70000
HO00091,0001,,Howden le Wear 6 Fox Covert Grove,Freehold Acquisition,,24-Feb-23,85000
HO00092,0001,,12 Bainbridge Avenue Willington Durham County Durham,Freehold Acquisition,ACQ00211,24-Feb-23,70000
HO00094,0001,,112 High Hope Street Crook County Durham,Freehold Acquisition,ACQ00198,24-Feb-23,65000
HO00123,0001,,"8 Elm Gardens, Roddymoor, Crook",Freehold Acquisition,,28-Feb-23,60000
HO00096,0001,,"16 Hargill Road, Howden le Wear",Freehold Acquisition,,03-Mar-23,75000
HO00118,0001,,"9 Grey Gables, Brandon",Freehold Acquisition,,04-Mar-23,115000
HO00093,0001,,Crook 46 High Hope Street,Freehold Acquisition,,24-Mar-23,90000
HO00095,0001,,"9 Newholme Estate, Station Town",Freehold Acquisition,ACQ00206,24-Mar-23,45000
HO00097,0001,,"36 Bouch Street, Shildon",Freehold Acquisition,,24-Mar-23,45000
HO00106,0001,,"The Swale aka Plot 121 Eden Field, Newton Aycliffe, County Durham, DL5 4DF",Freehold Acquisition,ACQ00203,28-Mar-23,160000
HO00108,0001,,"14 Handel Terrace, Wheatley Hill Durham",Freehold Acquisition,,28-Mar-23,50000
HO00105,0001,,"6 The Moorland, Newton Aycliffe, County Durham, DL5 4DE",Freehold Acquisition,ACQ8176,29-Mar-23,135000
HO00107,0001,,"13 Linden Road, Bishop Auckland",Freehold Acquisition,,29-Mar-23,78000
HO00109,0001,,"Esh Winning, 20 Holborn Close",Freehold Acquisition,,29-Mar-23,72000
HO00110,0001,,"1 Medway Gardens, Stanley",Freehold Acquisition,,31-Mar-23,20000
HO00112,0001,,"2 Medway Gardens, Stanley",Freehold Acquisition,,31-Mar-23,20000
HO00113,0001,,"2A Medway Gardens, Stanley",Freehold Acquisition,,31-Mar-23,20000
HO00114,0001,,"3 Coquet Gardens, Stanley",Freehold Acquisition,,31-Mar-23,20000
HO00115,0001,,"3A Coquet Gardens, Stanley",Freehold Acquisition,,31-Mar-23,20000
HO00116,0001,,"4 Coquet Gardens, Stanley",Freehold Acquisition,,31-Mar-23,20000
HO00117,0001,,"4A Coquet Gardens, Stanley",Freehold Acquisition,,31-Mar-23,20000
OP00023,0001,,"Open Space Land at Shieldrow Lane, New Kyo, DH9 7GA",Freehold Acquisition,ACQ00094,05-May-23,1
D001967,0003,,"Land at Low Greenfield Farm, Low Greenfields, St Helen Auckland, Bishop Auckland, County Durham",Freehold Acquisition,ACQ00158,15-May-23,40000
LG00026,0001,,"Land at Low Greenfields Farm, St Helen Auckland, Bishop Auckland, County Durham",Freehold Acquisition,ACQ00158,15-May-23,40000
LG00029,0002,,"Land to the South of North Docks, Seaham Harbour",Freehold Acquisition,,15-May-23,0
CA00001,0001,,"Acquisition of Lincoln House, Castleside, Consett, County Durham, DH8 9AR",Freehold Acquisition,,18-May-23,385000
HO00121,0001,,"48 North Magdalene, Medomsley, Consett, County Durham, DH8 6RQ",Freehold Acquisition,,20-Jun-23,95000
HB12916,0003,,"Land at Mendip Avenue, Chester le Street",Freehold Acquisition,ACQ00105,18-Jul-23,0
HO00122,0001,,"27 Whitehouse Lane, Ushaw Moor, County Durham, DH7 7PG",Freehold Acquisition,,28-Jul-23,71000
ED00845,0009,,"Land adjacent to Wordsworth Avenue, Wheatley Hill",Freehold Acquisition,ACQ00112,07-Aug-23,1500
PL00521,0001,,"The Rivergreen Centre, Aykley Heads Road, Aykley Heads, Durham",Freehold Acquisition,ACQ8481,24-Aug-23,11000000
HO00125,0001,," 3 Newcastle Road, Crossgate Moor",Freehold Acquisition,,25-Aug-23,172000
ED00149,0031,,"Greenfield Community College Sunnydale Campus, Shildon",Freehold Acquisition,,01-Sep-23,1
HO00126,0001,,"70 Station Road, Seaham",Leasehold Acquisition,,01-Sep-23,62500
D001156,0006,,"Acquisition of public realm at Festival Walk, Spennymoor, County Durham",Freehold Acquisition,ACQ00013,11-Sep-23,1
OP00016,0001,,Urpeth Grange Play Area,Freehold Acquisition,ACQ00175,18-Sep-23,1
D001967,0006,,"Land East Side of Preston Road, Aycliffe Industrial Estate",Freehold Acquisition,ACQ00158,21-Sep-23,21000
HO00129,0001,,"6 Cedar Court, Catchgate, Stanley",Freehold Acquisition,ACQ00220,05-Oct-23,84000
HO00130,0001,,"4 Cedar Crescent, Willington, Crook, County Durham, DL15 0BP",Freehold Acquisition,ACQ8948,05-Oct-23,112000
HO00131,0001,,"153 Woodland View, West Rainton",Freehold Acquisition,ACQ8950,05-Oct-23,90000
D001156,0007,,"Land to the East of Units 1-7 Festival Walk, Spennymoor",Freehold Acquisition,,11-Oct-23,1
PL00517,0020,,"Peterlee 5 Armstrong Road, North East Industrial Estate",Freehold Acquisition,ACQ00178,19-Oct-23,20000
HO00134,0001,,"17 Byron Street, Easington Colliery, Peterlee",Freehold Acquisition,ACQ8992,27-Oct-23,57500
HO00128,0001,,"1 Warburton Close, Newton Aycliffe, Co Durham DL5 5BP",Freehold Acquisition,,03-Nov-23,80000
HO00133,0001,,"77 Dean Road, Ferryhill DL17 8ER",Freehold Acquisition,ACQ8990,10-Nov-23,68250
CA00003,0001,,"West Auckland Copeland Barns Childrens Home, West Auckland, County Durham",Freehold Acquisition,,23-Nov-23,520000
CA00002,0001,,"Witton Gilbert Coach Lodge Childrens Home, Witton Gilbert, County Durham",Freehold Acquisition,,24-Nov-23,535000
HO00135,0001,,"6 North View, Langley Park",Freehold Acquisition,,27-Nov-23,66000
HO00153,0001,,"11 Chapel View, West Rainton",Freehold Acquisition,,11-Dec-23,57000
HO00137,0001,,"10 The Pasture, Newton Aycliffe",Freehold Acquisition,,12-Dec-23,160000
HO00136,0001,,"8 Millfield Road, Fishburn",Freehold Acquisition,,18-Dec-23,97000
HO00143,0001,," 84 Durham Road, Spennymoor ",Freehold Acquisition,ACQ9072,18-Dec-23,84000
HO00144,0001,,"72 Newholme Crescent, Evenwood, Bishop Auckland",Freehold Acquisition,,19-Dec-23,93000
HO00146,0001,," 10 Princes Street, Shildon",Freehold Acquisition,ACQ9067,21-Dec-23,60000
HO00111,0001,,"1A Medway Gardens, Stanley",Freehold Acquisition,,31-Dec-23,20000
HO00145,0001,,"1 Boyne Street, Willington, Crook",Freehold Acquisition,ACQ9069,12-Jan-24,83000
HO00149,0001,,"32 Arthur Street, Crook",Freehold Acquisition,,29-Jan-24,164000
HB12091,0008,,"Land to the north west of Sniperley Park and Ride , Durham",Freehold Acquisition,ACQ00062,31-Jan-24,99999
HO00142,0001,," 9 Oliver Street, Seaham",Freehold Acquisition,ACQ9181,09-Feb-24,90000
OP00018,0001,,"Open Space at Newton Aycliffe Eden Field, ",Freehold Acquisition,,13-Feb-24,1
HO00154,0001,,"5 Ravensworth Avenue, Bishop Auckland ",Freehold Acquisition,ACQ9075,15-Feb-24,75000
HO00155,0001,,"33 Priestman Road, Newton Aycliffe",Freehold Acquisition,ACQ9046,15-Feb-24,97000
HO00156,0001,,"16 Colwell Court, Newton Aycliffe",Freehold Acquisition,ACQ9114,15-Feb-24,132000
D001967,0009,,"Acquisition of land at Woodend Farm, Etherley Bank, Bishop Auckland",Freehold Acquisition,ACQ00158,20-Feb-24,80000
OP00022,0001,,"Acquisition of 55-63 Festival Walk, Spennymoor,",Freehold Acquisition,ACQ00228,20-Feb-24,1
HO00150,0001,,"Acquisition of Freehold Interest of 5 Belgrave Court, Coxhoe, County Durham",Freehold Acquisition,ACQ9073,21-Feb-24,72000
OP00019,0001,,"Land at Bulman Walk, Willington",Freehold Acquisition,ACQ8665,26-Feb-24,9408.51
HO00152,0001,,"3 The Haven, Chilton, Ferryhill",Freehold Acquisition,ACQ00195,27-Feb-24,82500
HO00124,0001,,"10 Elm Gardens, Roddymoor, Crook ",Freehold Acquisition,,28-Feb-24,65000
HO00157,0001,,"34 Percy Street, Bishop Auckland",Freehold Acquisition,ACQ9056,01-Mar-24,120000
HO00159,0001,,"135 Bek Road, Newton Hall, Durham",Freehold Acquisition,ACQ9057,01-Mar-24,120000
HO00160,0001,,"1 Elm Drive, Shildon",Freehold Acquisition,ACQ9074,01-Mar-24,62500
HO00165,0001,,"31 Jubilee Crescent, Sherburn Hill",Freehold Acquisition,ACQ9210,01-Mar-24,60000
HO00171,0001,,"15 May Terrace, Langley Park",Freehold Acquisition,,06-Mar-24,100000
D503576,0014,,"OPEN SPACE LAND AT COBBLER'S HALL, NEWTON AYCLIFFE",Freehold Acquisition,ACQ00085,07-Mar-24,1
D001967,0012,,"Land at Northbridge Park, St Helen Auckland",Freehold Acquisition,ACQ00158,08-Mar-24,1
HO00161,0001,,"69 Surrey Crescent, Consett",Freehold Acquisition,ACQ9278,08-Mar-24,69000
HO00167,0001,,"37 Gullane Close, Stanley",Freehold Acquisition,ACQ9113,08-Mar-24,70000
HO00151,0001,,"80 Deneside, Lanchester",Freehold Acquisition,ACQ9071,15-Mar-24,96500
HO00158,0001,,"7 Brown Court, Crook",Freehold Acquisition,ACQ9082,15-Mar-24,117500
HO00162,0001,,"6 High Hope Street, Crook",Freehold Acquisition,ACQ9083,15-Mar-24,107500
HO00166,0001,,"9 Lakemore, Peterlee, County Durham",Freehold Acquisition,ACQ9292,15-Mar-24,93000
HO00169,0001,,"9 Christchurch Place, Peterlee",Freehold Acquisition,,15-Mar-24,75000
HO00172,0001,,"80 Hawthorn Road, Spennymoor",Freehold Acquisition,,22-Mar-24,78000
OP00017,0001,,"Land at Marley Fields, Wheatley Hill,",Freehold Acquisition,ACQ8096,22-Mar-24,1
HO00170,0001,,"58 Upper Church Street, Spennymoor",Freehold Acquisition,,23-Mar-24,75000
CA00004,0002,,Seaham Parkside Crescent Edge of Care,Freehold Acquisition,ACQ00208,27-Mar-24,315000
HO00175,0001,,"3 Garden Avenue, Framwellgate Moor",Freehold Acquisition,,27-Mar-24,95000
HO00176,0001,,"19 Nelson Street, Bishop Auckland",Freehold Acquisition,ACQ9191,27-Mar-24,115000
HO00173,0001,,"7 Monument Court, Nevilles Cross",Leasehold Acquisition,ACQ9116,27-Mar-24,195000
D001967,0005,,"Land at 113 Northbridge Park, St Helen Auckland",Freehold Acquisition,ACQ00158,04-Apr-24,12150
HO00183,0001,,"25 Hartley Gardens, Gilesgate",Freehold Acquisition,ACQ9297,16-Apr-24,220000
HO00184,0001,,"26 Hartley Gardens, Gilesgate",Freehold Acquisition,ACQ9296,16-Apr-24,220000
HO00177,0001,,"6 Oak Avenue, Willington, Crook",Freehold Acquisition,ACQ9382,07-Jun-24,68500
ED01102,0022,,"Plot 7, Trinity Mews, Witton Gilbert, County Durham",Freehold Acquisition,PDIS01133,12-Jun-24,220000
HO00191,0001,,"9 North Moor Avenue, Trimdon Colliery",Freehold Acquisition,ACQ9549,13-Jun-24,88000
HO00186,0001,,"3 Webb Square, Horden, Peterlee,",Freehold Acquisition,ACQ9451,01-Jul-24,65000
HO00174,0001,,"52 Fourth Street, Leadgate, Consett",Freehold Acquisition,,03-Jul-24,98000
HO00193,0001,,"89 Oakfield, Newton Aycliffe",Freehold Acquisition,ACQ9576,03-Jul-24,86000
HO00192,0001,,"55 Cong Burn View, Pelton Fell, Chester le Street",Leasehold Acquisition,ACQ9495,09-Aug-24,80000
PL00525,0001,,"120 Third Street, Horden, Peterlee",Freehold Acquisition,PROJ8461,15-Aug-24,43000
HO00179,0001,," 82 Salvin Street, Croxdale, Durham",Freehold Acquisition,ACQ9365,19-Aug-24,82000
PL00447,0085,,"Mines and minerals  1.025 acres or thereabouts at Low Willington Industrial Estate, Low Willington, Crook",Freehold Acquisition,,29-Aug-24,14000
OP00028,0001,,"2.132 Acres of Land at Oakfield Gardens, Peterlee",Freehold Acquisition,ACQ9895,04-Sep-24,1
HO00195,0001,,"54A King Street, Spennymoor",Leasehold Acquisition,ACQ9136,12-Sep-24,45000
HO00196,0001,,"66 St Andrew's Road, Spennymoor",Freehold Acquisition,ACQ9673,20-Sep-24,88000
HO00198,0001,,"Freehold Acquisition of 45 Baff Street, Spennymoor, County Durham",Freehold Acquisition,ACQ9750,11-Oct-24,50000
HO00004,0003,,"14 Sycamore Terrace, New Kyo",Freehold Acquisition,ACQ9795,24-Oct-24,50000
PL00525,0003,,"91 Third Street, Horden, Peterlee",Freehold Acquisition,ACQ10218,28-Oct-24,30000
PL00525,0004,,"125 Third Street, Horden, Peterlee",Freehold Acquisition,ACQ10186,29-Oct-24,33000
PL00525,0002,,"78 Third Street, Horden, Peterlee",Freehold Acquisition,ACQ10138,27-Nov-24,50000
HO00197,0001,,"8 Nelson Street, Bishop Auckland",Freehold Acquisition,ACQ9713,17-Dec-24,70000
ED01702,0002,,"Land SE side of Coulson Street, Spennymoor",Freehold Acquisition,,19-Dec-24,4750000
HO00206,0001,,"19 Morgan Drive, Spennymoor, County Durham",Freehold Acquisition,ACQ10333,28-Jan-25,170000
HO00180,0001,," 6 Hartley Gardens, Gilesgate, Durham",Freehold Acquisition,ACQ9182,30-Jan-25,220000
HO00181,0001,,"8 Hartley Gardens, Gilesgate, Durham",Freehold Acquisition,ACQ9183,30-Jan-25,220000
HO00182,0001,," 9 Hartley Gardens, Gilesgate, Durham",Freehold Acquisition,ACQ9184,30-Jan-25,220000
HO00185,0001,,"56 Hartley Gardens, Gilesgate, Durham",Freehold Acquisition,ACQ9185,30-Jan-25,220000
PL00525,0015,,"101 Third Street, Horden, Peterlee",Freehold Acquisition,ACQ10668,02-Feb-25,65000
PL00525,0055,,"124 Third Street, Horden, Peterlee",Freehold Acquisition,ACQ11960,09-Feb-25,55000
HO00205,0001,,"33 Durham Street, Bishop Auckland",Freehold Acquisition,ACQ10293,12-Feb-25,75000
LG00038,0001,,"Dawdon Mine Water Treatment Site Fox Cover Industrial Estate, Seaham",Freehold Acquisition,ACQ00185,17-Feb-25,28000
PL00525,0011,,"92 Third Street, Horden, Peterlee, County Durham",Freehold Acquisition,ACQ10310,17-Feb-25,50000
HO00212,0001,,"Acquisition of Freehold - 42 Lotherton Drive, Spennymoor, County Durham",Freehold Acquisition,ACQ10399,25-Feb-25,90000
PL00525,0016,,"87 Fifth Street, Horden, County Durham",Freehold Acquisition,ACQ10629,26-Feb-25,37000
HO00201,0001,,"28 Joseph Street, Stanley, County Durham",Freehold Acquisition,ACQ9997,27-Feb-25,65000
HO00203,0001,,"59 Lime Road, Ferryhill, County Durham",Freehold Acquisition,ACQ9877,27-Feb-25,77000
HO00213,0001,,"197 Byerley Road, Shildon, County Durham",Freehold Acquisition,ACQ10480,27-Feb-25,72500
HO00200,0001,,"10 Birch Avenue, Bishop Auckland, County Durham",Freehold Acquisition,ACQ9813,28-Feb-25,75000
HO00207,0001,,"14 Everson Way, Middlestone Moor, Spennymoor, County Durham",Freehold Acquisition,ACQ10332,07-Mar-25,170000
HO00207,0003,,"Garage 14 Lavender Crescent, Middlestone Moor, Spennymoor, County Durham",Leasehold Acquisition,ACQ10332,07-Mar-25,0
PL00525,0007,,"89 Third Street, Horden, Peterlee",Freehold Acquisition,ACQ10220,10-Mar-25,31000
D001967,0010,,"2.87 acres of Land at Greenfield Farm, High Etherley, Bishop Auckland, County Durham",Freehold Acquisition,ACQ00158,11-Mar-25,40000
LG00042,0001,,Land at Dale Road Shildon County Durham,Freehold Acquisition,,11-Mar-25,0
HO00211,0001,,"15 Moorside, Spennymoor, County Durham, DL16 7DY",Freehold Acquisition,ACQ10495,13-Mar-25,72500
HO00208,0001,,"66 Brooklands, Bishop Auckland, County Durham, ",Freehold Acquisition,ACQ10500,17-Mar-25,82000
HO00210,0001,,"194 Thornton Close, Newton Aycliffe, County Durham",Freehold Acquisition,ACQ10518,17-Mar-25,82500
HO00216,0001,,"20 Front Street, Tudhoe Colliery, Spennymoor, County Durham",Freehold Acquisition,ACQ10605,17-Mar-25,89995
HO00217,0001,,"23 Windsor Terrace, Murton, Seaham, County Durham",Freehold Acquisition,ACQ10621,20-Mar-25,67000
PL00525,0009,,"118 Third Street, Horden, Peterlee, County Durham",Freehold Acquisition,ACQ10597,20-Mar-25,56150
HO00215,0001,,"2 Laburnum Road, Bishop Auckland, County Durham",Freehold Acquisition,ACQ10634,21-Mar-25,90000
HO00214,0001,,"23 Short Street, Bishop Auckland, County Durham",Freehold Acquisition,ACQ10443,24-Mar-25,72000
HO00219,0001,,"3 Fenwick Street, Spennymoor, County Durham",Freehold Acquisition,ACQ10606,26-Mar-25,77000
HO00220,0001,,"9 Stranton Street, Bishop Auckland, County Durham",Freehold Acquisition,ACQ10633,26-Mar-25,95000
PL00525,0010,,"74 Third Street, Horden, Peterlee, County Durham",Freehold Acquisition,ACQ10626,09-Apr-25,45000
PL00525,0017,,"81 Third Street, Horden, Peterlee, County Durham",Freehold Acquisition,ACQ10809,09-Apr-25,50000
CA00009,0001,,"The Vicarage, 8 Manor Road, St Helen Auckland, County Durham",Freehold Acquisition,ACQ10128,14-Apr-25,380000
PL00525,0005,,"83 Third Street, Horden, Peterlee",Freehold Acquisition,ACQ10166,15-Apr-25,34000
HO00222,0001,,"81 Moorside, Spennymoor, County Durham, ",Freehold Acquisition,ACQ10637,29-Apr-25,90000
PL00525,0008,,"104 Third Street, Horden, County Durham",Freehold Acquisition,ACQ10221,29-Apr-25,37500
HO00223,0001,,"57 Scripton Gill, Brandon, County Durham",Freehold Acquisition,ACQ10822,02-May-25,120000
PL00525,0020,," 72 Fifth Street, Horden, Peterlee, County Durham",Freehold Acquisition,ACQ11033,06-May-25,40000
PL00525,0018,,"85 Fifth Street, Horden, Peterlee, County Durham",Freehold Acquisition,ACQ10862,12-May-25,31000
LG00043,0001,,"Newmarket House, Auton Stile, Bearpark, County Durham",Freehold Acquisition,ACQ8611,15-May-25,1
PL00525,0019,,"89 Fifth Street, Horden, Peterlee, County Durham",Freehold Acquisition,ACQ10816,15-May-25,32000
PL00525,0022,,"58 Fifth Street, Horden, Peterlee, County Durham",Freehold Acquisition,ACQ11049,28-May-25,40000
HO00221,0001,,"1 Keldmere, Spennymoor, County Durham",Freehold Acquisition,ACQ10832,09-Jun-25,170000
PL00525,0021,,"55 Fifth Street, Horden, Peterlee, County Durham",Freehold Acquisition,ACQ11050,09-Jun-25,35000
HO00224,0001,,"67 Victory Close, Consett, County Durham",Freehold Acquisition,ACQ10777,30-Jun-25,150000
HO00225,0001,,"75 Victory Close, Consett, County Durham",Freehold Acquisition,ACQ10779,30-Jun-25,150000
PL00525,0030,,"103 Fifth Street, Horden, Peterlee, County Durham",Freehold Acquisition,ACQ11189,09-Jul-25,26000
PL00525,0024,,"50 Fifth Street, Horden, Peterlee, County Durham",Freehold Acquisition,ACQ11076,09-Jul-25,35000
PL00525,0025,,"54 Fifth Street, Horden, Peterlee, County Durham",Freehold Acquisition,ACQ11281,14-Jul-25,33000
PL00525,0023,,"96 Third Street, Horden, Peterlee, County Durham",Freehold Acquisition,ACQ11077,15-Jul-25,28000
HO00226,0001,,"25 Newbiggen Lane, Lanchester, County Durham",Freehold Acquisition,ACQ10927,17-Jul-25,132500
PL00525,0028,,"84 Third Street, Horden, Peterlee, County Durham",Freehold Acquisition,ACQ11279,05-Aug-25,40000
PL00525,0031,,"42 Fifth Street and associated garage, Horden, County Durham",Freehold Acquisition,ACQ11282,11-Aug-25,36000
PL00525,0032,,"40 Fifth Street, Horden, Peterlee",Freehold Acquisition,ACQ11414,12-Aug-25,39000
PL00525,0026,,"127 Third Street, Horden, Peterlee, County Durham",Freehold Acquisition,ACQ11280,26-Aug-25,28000
PL00525,0034,,"97 Fifth Street, Horden, Peterlee, County Durham",Freehold Acquisition,ACQ11435,08-Sep-25,4800
PL00525,0027,,"128 Third Street, Horden, Peterlee, County Durham",Freehold Acquisition,ACQ11278,08-Sep-25,60300
PL00525,0033,,"97 Fifth Street, Horden, Peterlee, County Durham",Leasehold Acquisition,ACQ11435,08-Sep-25,36200
PL00525,0036,,"52 Fifth Street, Horden, Peterlee, County Durham, SR8 4LA",Freehold Acquisition,ACQ11507,09-Sep-25,32500
PL00525,0012,,"87 Third Street, Horden, Peterlee, County Durham",Freehold Acquisition,ACQ10625,15-Sep-25,40000
HO00229,0001,,"6 Newcastle Road, Crossgate Moor, Durham",Freehold Acquisition,ACQ11289,29-Sep-25,232500
PL00525,0039,,"129 Third Street, Horden, Peterlee",Freehold Acquisition,ACQ11477,29-Sep-25,25000
PL00525,0029,,"Land on the south side of Dickmans Buildings (Garages), Horden",Freehold Acquisition,ACQ11190,20-Oct-25,13200
PL00525,0006,,"130 Third Street, Horden, Peterlee",Freehold Acquisition,ACQ10219,20-Oct-25,30000
PL00525,0041,,"56 Fifth Street, Horden, County Durham",Freehold Acquisition,ACQ11662,27-Oct-25,24000
HO00235,0001,,"53 Burnie Gardens, Shildon, County Durham",Freehold Acquisition,ACQ11427,24-Nov-25,87500
PL00525,0051,,"59 Fifth Street, Horden, Peterlee, County Durham",Freehold Acquisition,ACQ11762,24-Nov-25,4800
PL00525,0050,,"59 Fifth Street, Horden, Peterlee, County Durham",Leasehold Acquisition,ACQ11762,24-Nov-25,31200
D700049,0122,,"75 Proudfoot Drive, Bishop Auckland",Freehold Acquisition,,27-Nov-25,1
OP00031,0001,,Open Space at the former Essington House Essington Way Peterlee SR8 5AZ,Freehold Acquisition,ACQ00019,27-Nov-25,1
HO00236,0001,,"27 Victoria Terrace, Lanchester",Freehold Acquisition,ACQ11528,28-Nov-25,210000
PL00525,0046,,"84 Fifth Street, Horden, Peterlee, County Durham",Freehold Acquisition,ACQ11686,01-Dec-25,35000
PL00525,0043,,"91 Fifth Street, Horden, Peterlee, County Durham",Freehold Acquisition,ACQ11666,08-Dec-25,4800
PL00525,0042,,"91 Fifth Street, Horden, Peterlee, County Durham",Leasehold Acquisition,ACQ11666,08-Dec-25,26500
HO00227,0001,,"2 Hill Meadows, Willington, Crook County Durham",Freehold Acquisition,ACQ11290,15-Dec-25,167995
HO00228,0001,,"6 Hill Meadows, Willington, Crook County Durham",Freehold Acquisition,ACQ11291,15-Dec-25,167995
PL00525,0053,,"86 Fifth Street, Horden, Peterlee, County Durham",Freehold Acquisition,ACQ11704,12-Jan-26,22500
PL00525,0052,,"62 Fifth Street, Horden, Peterlee, County Durham",Freehold Acquisition,ACQ11703,12-Jan-26,30000
HO00238,0001,,"10 Prospect Terrace, Neville's Cross, Durham",Freehold Acquisition,ACQ11784,15-Jan-26,215000
PL00525,0045,,"95 Fifth Street, Horden, Peterlee, County Durham",Freehold Acquisition,ACQ11684,27-Jan-26,4800
PL00525,0044,,"95 Fifth Street, Horden, Peterlee, County Durham",Leasehold Acquisition,ACQ11684,27-Jan-26,27700
PL00525,0056,,"93 Third Street, Horden, Peterlee",Freehold Acquisition,ACQ12036,02-Feb-26,32000
